Date,,Berri1,Boyer,Brébeuf,CSC (Côte Sainte-Catherine),Maisonneuve_2,Maisonneuve_3,Notre-Dame,Parc,PierDup,Pont_Jacques_Cartier,Rachel / Hôtel de Ville,Rachel / Papineau,René-Lévesque,Saint-Antoine,Saint-Urbain,Totem_Laurier,University,Viger
05/09/2016,00:00,3977,3871,4067,1562,3563,1436,1697,1699,3740,3140,3126,4394,2269,380,1150,2973,1570,342
06/09/2016,00:00,7027,4933,6393,4570,9180,2805,2736,4646,2230,2841,4260,6390,3425,868,2324,4919,1662,542
07/09/2016,00:00,7161,5189,4700,4513,9416,2859,2891,4802,2254,2922,4197,6510,3810,915,2388,5077,5023,529
08/09/2016,00:00,4368,2578,3464,2739,5637,1518,1359,2910,723,1410,2356,3772,1951,493,1617,2898,3166,286
09/09/2016,00:00,6646,4915,6018,4043,8478,2460,2531,4309,2256,3146,4243,5957,3550,829,2273,4767,4732,677
10/09/2016,00:00,3742,3485,3667,2221,4204,1344,1263,1734,2193,2156,3195,4261,1716,342,1193,3239,1944,353
11/09/2016,00:00,2474,2479,2656,1958,3355,1007,816,1793,1026,1868,3312,3413,1156,203,1028,2737,1564,239
12/09/2016,00:00,6146,4230,5575,4662,8570,2647,2562,4526,1921,2671,4003,5654,3449,770,2338,4348,5047,627
13/09/2016,00:00,7121,4995,6329,5337,9473,2764,2847,4896,2360,3130,4105,160,3904,825,2604,4794,5201,684
14/09/2016,00:00,5365,3423,4597,4120,7725,1918,1988,4052,902,1686,3502,52,2853,661,1947,4015,4400,506
15/09/2016,00:00,6261,4520,5733,4765,8666,2416,2518,4514,1794,2462,3921,78,3507,678,2457,4549,4320,576
16/09/2016,00:00,5777,4426,5568,3952,7930,2327,2257,4015,2071,2429,3962,79,3258,669,2315,4354,4373,557
17/09/2016,00:00,2590,2502,2511,1557,3332,1017,878,1498,1540,1527,2457,12,1266,212,1018,2561,1487,212
18/09/2016,00:00,3028,2933,2885,1569,3699,1269,1131,1639,1723,1886,2730,0,1548,234,983,2791,1569,248
19/09/2016,00:00,5960,4171,5206,4642,8453,2425,2556,4481,1849,2632,3422,0,3423,773,1817,4304,4621,630
20/09/2016,00:00,6562,4688,5780,5044,9269,2711,2530,4712,1928,2690,3709,0,3604,872,1737,4702,4490,666
21/09/2016,00:00,6676,4461,5829,4007,9174,2593,2539,4738,2081,2633,3970,0,3741,826,1866,4569,5025,621
22/09/2016,00:00,5530,3489,4682,3370,7761,2144,1969,3960,1030,2009,3346,0,2954,644,1819,4014,4193,506
23/09/2016,00:00,3923,2852,3508,2650,5664,1543,1351,2833,918,1531,2712,0,2078,390,1760,3308,3034,355
24/09/2016,00:00,3205,2959,2997,1572,3843,1133,1058,1807,1489,1371,2861,0,1502,250,1392,3128,1820,283
25/09/2016,00:00,2740,2699,1658,1513,3376,1171,962,1626,1104,2690,2978,0,1414,203,1033,2891,1147,186
26/09/2016,00:00,5405,3510,4646,3767,7464,2157,2043,4007,1200,2134,3171,0,2928,632,2151,3728,4099,537
27/09/2016,00:00,5945,3748,4993,4324,7896,2307,2088,4279,1351,2305,3488,0,2968,701,2343,4099,4232,527
28/09/2016,00:00,6022,3862,5117,4416,8045,2218,2166,4167,1494,2317,3610,0,3048,644,2276,4254,4328,495
29/09/2016,00:00,5917,3652,4891,3991,7722,2186,2056,4163,1554,2274,3634,0,3092,696,2504,4069,4221,541
30/09/2016,00:00,5264,3551,4502,3423,7092,1940,1699,3706,1191,2096,3523,0,2541,568,2163,3906,3869,520
01/10/2016,00:00,2817,2441,2592,1404,3588,1028,775,1524,1182,1510,2758,0,1180,206,1258,2643,1590,206
02/10/2016,00:00,1705,1426,1653,943,2241,611,437,1076,452,779,1741,0,642,117,884,1876,1037,113
03/10/2016,00:00,5161,3284,4294,3803,6823,1948,1789,3805,1313,2093,3311,0,2513,617,2155,3743,3860,502
04/10/2016,00:00,5956,3711,4937,4154,7574,2164,2084,4177,1455,2383,3636,0,2856,666,2262,4045,4101,514
05/10/2016,00:00,6173,3866,5068,4246,7782,2213,2147,4262,1534,2407,3716,0,2952,646,2266,4265,4267,539
06/10/2016,00:00,6155,4007,5219,4082,7917,2262,2125,4131,1619,2457,3940,0,2985,710,2385,4368,4295,559
07/10/2016,00:00,5445,3927,4992,3432,6955,2028,1948,3587,1941,2334,3933,0,2651,658,2051,4113,3691,486
08/10/2016,00:00,755,798,788,502,1187,278,221,458,72,334,814,0,303,49,422,1059,505,58
09/10/2016,00:00,1837,1645,1710,1089,2240,620,543,1071,846,1238,2038,0,730,131,865,1648,914,161
10/10/2016,00:00,1741,1697,1792,989,2054,647,582,1053,863,1192,2061,0,734,160,741,1769,969,132
11/10/2016,00:00,5122,3194,4312,3575,6612,1955,1786,3655,1050,1990,3106,0,2493,595,2041,3562,3636,500
12/10/2016,00:00,5645,3468,4666,3930,6979,2063,1987,3963,1421,2324,3363,0,2684,648,2251,3864,3898,601
13/10/2016,00:00,3496,1913,2813,2616,4521,1226,1088,2653,429,1264,2088,0,1576,403,1532,2768,2600,342
14/10/2016,00:00,4232,2632,3551,3062,5810,1519,1358,3212,789,1536,2913,0,1893,467,1772,3402,3070,407
15/10/2016,00:00,2387,2339,2442,1449,3028,877,698,1489,1100,1537,2614,0,938,186,1151,2370,1289,188
16/10/2016,00:00,865,863,913,580,1289,284,229,666,74,386,933,0,304,53,407,1090,554,72
17/10/2016,00:00,4500,2932,4338,3540,6118,1833,1549,3513,1040,1867,2817,0,2207,589,1897,3395,3366,466
18/10/2016,00:00,3546,1883,2779,2639,4889,1309,1012,2661,576,1244,2302,0,1480,366,1300,2721,2118,334
19/10/2016,00:00,5428,3292,4568,3685,7037,1926,1812,3681,1315,2167,3340,0,2463,628,2086,3786,3334,508
20/10/2016,00:00,2828,1454,2265,2305,3795,1009,950,2215,431,1022,1756,0,1378,291,1179,2333,1982,329
21/10/2016,00:00,1167,642,922,817,1521,427,358,932,87,363,840,0,496,167,543,1235,789,104
22/10/2016,00:00,496,396,491,297,695,192,159,324,56,216,609,0,202,42,264,719,317,46
23/10/2016,00:00,927,817,935,887,1367,388,233,701,182,440,1079,0,337,68,425,1185,582,63
24/10/2016,00:00,2961,1848,2703,1894,4626,689,1117,2590,527,1280,1959,0,1565,406,1232,2508,2356,384
25/10/2016,00:00,3108,2002,2841,1844,4603,0,1128,2685,530,1316,2100,0,1568,404,1366,2706,2302,356
26/10/2016,00:00,3245,1771,2787,1692,4642,0,1108,2585,464,1293,2027,0,1576,392,1365,2587,2322,339
27/10/2016,00:00,2369,1511,2179,1375,3549,0,859,2102,329,953,1605,0,1223,269,1093,2282,1856,274
28/10/2016,00:00,1672,1072,1441,894,2591,155,483,1571,156,570,1257,0,705,208,746,1732,1323,175
29/10/2016,00:00,661,600,727,335,1029,227,153,509,34,247,766,0,266,54,370,966,395,44
30/10/2016,00:00,1103,1101,1200,568,1779,477,262,820,316,703,1177,0,385,69,531,1313,696,64
31/10/2016,00:00,2782,1731,2469,1858,4099,1177,931,2439,458,1145,1769,0,1354,331,1059,2374,2172,275
01/11/2016,00:00,3158,1749,2677,1868,4227,1185,984,2497,375,1139,1633,0,1349,332,1443,2454,2214,270
02/11/2016,00:00,3825,2307,3340,2196,5003,1465,1243,2957,822,1530,2419,0,1753,420,1392,2941,2654,383
03/11/2016,00:00,2163,1146,1804,1334,2798,712,670,1919,211,748,1373,0,1024,219,810,1876,1592,215
04/11/2016,00:00,2616,1634,2306,1537,3520,965,766,2186,352,933,1797,0,1155,341,1036,2369,2039,298
05/11/2016,00:00,1201,993,1186,614,1697,424,291,841,168,543,1286,0,399,77,649,1489,821,110
06/11/2016,00:00,1349,1399,1442,717,1754,426,352,845,420,851,1582,0,462,91,605,1467,798,104
07/11/2016,00:00,3096,1921,2768,1970,4188,1256,998,2654,572,1168,2030,0,1514,333,1277,2476,2352,348
08/11/2016,00:00,3474,2291,3314,2296,4966,1453,1219,2900,820,1561,2293,0,1696,398,1499,2861,2790,381
09/11/2016,00:00,2903,1782,2687,1947,4208,1240,923,2465,338,1023,2020,0,1333,291,1249,2630,2359,281
10/11/2016,00:00,2838,1750,2588,1868,4233,1128,924,2463,362,1002,1796,0,1319,316,1268,2587,2301,278
11/11/2016,00:00,2183,1410,2009,1444,3292,901,669,1803,221,747,1735,0,972,258,1022,2221,1834,232
12/11/2016,00:00,1057,925,1032,490,1665,337,255,793,141,392,1108,0,340,83,533,1488,805,76
13/11/2016,00:00,1231,1197,1281,620,1839,448,309,933,405,677,1427,874,466,96,593,1518,857,105
14/11/2016,00:00,2905,1845,2642,1911,4194,1227,1019,2578,619,1222,2093,3028,1361,358,726,2554,2307,326
15/11/2016,00:00,3148,1934,2663,1948,4454,1257,1153,2642,483,1129,2040,3123,1542,363,902,2578,2435,329
16/11/2016,00:00,2023,743,1243,1380,2255,852,651,1789,218,725,673,2188,902,264,946,1882,1298,186
17/11/2016,00:00,2376,304,419,1643,,1082,876,2202,391,1012,,2432,1160,277,1365,2209,1680,200
18/11/2016,00:00,1984,535,348,1477,,1029,806,1951,453,948,,2401,1077,342,1025,2135,1551,160
19/11/2016,00:00,1166,368,322,584,,586,346,890,576,760,,1636,419,120,674,1428,665,51
20/11/2016,00:00,303,99,76,173,,129,113,255,24,135,,615,134,27,230,603,189,26
21/11/2016,00:00,400,21,20,272,,158,107,313,22,146,,610,234,73,93,305,251,63
22/11/2016,00:00,657,62,15,364,,260,130,467,21,48,,863,226,96,137,604,299,83
23/11/2016,00:00,909,308,12,631,,352,174,697,41,57,,1139,487,137,390,846,546,121
24/11/2016,00:00,789,373,15,484,,315,193,606,33,85,,1030,524,116,360,712,428,96
25/11/2016,00:00,776,364,41,431,,293,188,601,42,63,,976,502,95,351,770,510,79
26/11/2016,00:00,361,330,60,190,,154,88,275,34,182,,701,445,46,235,562,253,26
27/11/2016,00:00,480,434,71,272,,213,144,363,82,228,,754,655,47,266,652,245,35
28/11/2016,00:00,1291,798,120,898,,593,475,1243,174,523,,1525,1085,176,572,1261,944,135
29/11/2016,00:00,798,436,96,439,,294,290,683,58,237,,950,527,119,376,789,454,95
30/11/2016,00:00,1177,595,116,727,,463,338,931,108,372,,1329,1121,120,568,1119,725,112
01/12/2016,00:00,975,496,107,599,,350,251,872,66,279,,1104,401,131,517,1018,607,99
02/12/2016,00:00,993,597,130,669,,441,262,934,72,348,,1206,651,139,532,1089,664,98
03/12/2016,00:00,579,439,101,234,,205,106,364,37,189,,763,583,47,267,668,300,26
04/12/2016,00:00,646,498,100,303,,237,139,377,116,289,,881,329,54,267,678,288,43
05/12/2016,00:00,546,317,14,304,,238,157,385,16,55,,704,224,89,151,416,185,63
06/12/2016,00:00,693,377,22,347,,233,134,464,12,62,,672,254,81,184,622,245,71
07/12/2016,00:00,660,354,9,376,,236,173,407,15,36,,799,254,95,282,593,282,76
08/12/2016,00:00,836,495,16,471,,308,203,541,19,64,,1076,390,114,364,814,444,105
09/12/2016,00:00,546,292,15,164,,168,83,286,9,45,,633,220,79,234,416,162,58
10/12/2016,00:00,275,185,2,63,,85,18,142,12,14,,470,69,31,135,387,53,25
11/12/2016,00:00,238,207,6,56,,97,28,125,15,55,,438,71,26,85,312,38,17
12/12/2016,00:00,353,246,10,91,,105,59,196,1,19,,498,115,36,12,429,47,19
13/12/2016,00:00,561,308,6,66,,166,95,267,1,44,,609,225,68,9,434,183,35
14/12/2016,00:00,559,283,7,220,,175,132,268,14,13,,700,201,69,56,309,199,50
15/12/2016,00:00,443,234,11,203,,156,88,196,5,17,,543,153,46,38,321,163,43
16/12/2016,00:00,271,159,29,127,,116,66,138,8,24,,362,123,48,33,315,118,33
17/12/2016,00:00,127,97,6,14,,42,8,45,4,3,,231,40,11,9,198,29,12
18/12/2016,00:00,93,69,2,6,,47,22,24,6,16,,200,29,12,6,248,25,6
19/12/2016,00:00,384,162,2,53,,97,88,169,5,99,,480,107,46,1,222,124,25
20/12/2016,00:00,460,160,6,175,,146,93,227,4,6,,543,143,72,17,304,189,46
21/12/2016,00:00,461,125,6,223,,156,127,266,11,114,,669,186,60,36,433,190,64
22/12/2016,00:00,427,101,12,180,,113,79,204,16,0,,539,167,67,37,348,162,39
23/12/2016,00:00,274,87,14,104,,122,56,154,14,0,,421,128,33,61,320,134,26
24/12/2016,00:00,78,41,3,28,,30,13,30,5,0,,185,22,7,13,95,31,4
25/12/2016,00:00,44,24,8,2,,22,3,11,1,0,,104,11,9,9,63,10,7
26/12/2016,00:00,53,14,3,12,,37,11,4,2,0,,103,21,7,9,73,17,6
27/12/2016,00:00,137,42,1,30,,57,26,33,8,0,,205,59,12,5,136,40,11
28/12/2016,00:00,181,55,1,70,,91,44,68,4,0,,288,85,24,16,171,76,19
29/12/2016,00:00,120,33,5,35,,46,18,41,8,0,,203,53,13,6,208,38,14
30/12/2016,00:00,120,59,13,2,,53,29,53,3,10,,72,55,15,0,218,68,3
31/12/2016,00:00,52,26,2,135,,23,11,12,6,0,,122,16,4,17,102,16,3
